title_name;title_id;runtime;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;age_rating;genre_drama;genre_comedy;genre_thriller;genre_action;genre_adventure;genre_romance;genre_crime;genre_fantasy;genre_family;genre_scifi;genre_mystery;genre_horror;genre_other;language_english;language_spanish;language_french;language_other;weekday_friday;weekday_wednesday;weekday_thursday;weekday_other;roi;tickets_sold
avengers endgame;tt4154796;181;24;4;2019;2797800564;858373000;1939427564;357115007;356000000;3;True;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;6.858990348314607;94223161
avatar;tt0499549;162;16;12;2009;2790439000;760507625;2029931375;77025481;237000000;3;False;False;False;True;True;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;False;10.774004219409283;101401016
star wars episode vii  the force awakens;tt2488496;138;16;12;2015;2068223624;936662225;1131561399;247966675;245000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;7.44172907755102;111110584
avengers infinity war;tt4154756;149;25;4;2018;2048359754;678815482;1369544272;257698183;316000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;5.482151120253165;74513225
jurassic world;tt0369610;124;10;6;2015;1670400637;652270625;1018130012;208806270;150000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;10.136004246666667;77374925
the lion king;tt6105098;118;12;7;2019;1656943394;543638043;1113305351;191770759;260000000;2;True;False;False;False;True;False;False;False;True;False;False;False;True;True;True;True;True;True;False;False;False;5.372859207692308;59674867
the avengers;tt0848228;143;25;4;2012;1518812988;623357910;895455078;207438708;220000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;5.9036954;78311295
furious 7;tt2820852;137;1;4;2015;1515047671;353007020;1162040651;147187040;190000000;3;False;False;True;True;True;False;True;False;False;False;False;False;False;True;True;False;True;False;True;False;False;6.973935110526316;41875091
frozen ii;tt4520988;103;20;11;2019;1449712864;477284992;972427872;130263358;150000000;2;False;True;False;False;True;False;False;True;True;False;False;False;True;True;False;False;False;False;True;False;False;8.664752426666666;52391327
avengers age of ultron;tt2395427;141;22;4;2015;1402805868;459005868;943800000;191271109;250000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;4.611223472;54449094
black panther;tt1825683;134;13;2;2018;1346913161;700059566;646853595;202003951;200000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;False;False;False;True;5.734565805;76845177
harry potter and the deathly hallows part 2;tt1201607;130;13;7;2011;1341932398;381409310;960523087;169189427;250000000;3;True;False;False;False;True;False;False;True;False;False;True;False;False;True;False;False;False;False;True;False;False;4.367729592;48097012
star wars episode viii  the last jedi;tt2527336;152;13;12;2017;1332539889;620181382;712358507;220009584;317000000;3;False;False;False;True;True;False;False;True;False;True;False;False;False;True;False;False;False;False;True;False;False;3.2035958643533125;69139507
jurassic world fallen kingdom;tt4881806;128;6;6;2018;1308467944;417719760;890748184;148024610;170000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;6.696870258823529;45852882
frozen;tt2294629;102;22;11;2013;1280802282;400738009;880064273;243390;150000000;2;False;True;False;False;True;False;False;True;True;False;False;False;True;True;False;False;True;True;False;False;False;7.53868188;49291268
beauty and the beast;tt2771200;129;16;3;2017;1263521126;504014165;759506961;174750616;160000000;2;False;False;False;False;False;True;False;True;True;False;False;False;True;True;False;False;False;False;False;True;False;6.8970070375;56188870
incredibles 2;tt3606756;118;14;6;2018;1242805359;608581744;634223615;182687905;200000000;2;False;True;False;True;True;False;False;False;True;True;False;False;True;True;False;False;False;False;False;True;False;5.214026795;66803704
the fate of the furious;tt4630562;136;12;4;2017;1236005118;226008385;1009996733;98786705;250000000;3;False;False;True;True;True;False;True;False;False;False;False;False;False;True;False;False;True;False;True;False;False;3.944020472;25196029
iron man 3;tt1300854;130;24;4;2013;1214811252;409013994;805797258;174144585;200000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;5.07405626;50309224
minions;tt2293640;91;9;4;2015;1159398397;336045770;823352627;115718405;74000000;2;False;True;False;False;True;False;False;False;True;True;False;False;True;True;True;False;False;False;False;True;False;14.667545905405406;39863080
captain america civil war;tt3498820;147;27;4;2016;1153296293;408084349;745211944;179139142;250000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;3.613185172;47177381
aquaman;tt1477834;143;7;12;2018;1148461807;335061807;813400000;67873522;200000000;3;False;False;False;True;True;False;False;True;False;True;False;False;False;True;False;False;True;True;False;False;False;4.742309035;36779561
the lord of the rings the return of the king;tt0167260;201;17;12;2003;1142219401;377845905;764373496;72629713;94000000;3;True;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;True;False;True;False;False;11.151270223404255;62661012
spiderman far from home;tt6320628;129;28;6;2019;1131927996;390532085;741395911;92579212;160000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;True;False;False;False;6.074549975;42868505
captain marvel;tt4154664;123;6;3;2019;1128274794;426829839;701444955;153433423;152000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;6.422860486842105;46852891
transformers dark of the moon;tt1399103;154;29;6;2011;1123794079;352390543;771403536;97852865;195000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;4.763046558974359;44437647
